compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,131.0,6.0,6.0,0.795,31.8,1538.0,300.0,Compound -1967451757543284335,0.0,20.0,160.0,1538.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -1967451757543284335
6.0,140.0,6.0,6.0,0.82,21.8,14.0,300.0,Compound 930379970593559366,0.0,20.0,1.0,14.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.037531652191729534,Compound 930379970593559366
6.0,417.0,6.0,6.0,1.01,4510000000.0,13.3,300.0,Compound -3110920021818314400,0.0,20.0,200000000.0,13.3,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.3987130684543473e-09,Compound -3110920021818314400
6.0,49.0,6.0,6.0,0.88,3.46,884.0,300.0,Compound 7117158585742027605,0.0,20.0,10.0,884.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 7117158585742027605
6.0,406.0,6.0,6.0,0.94,19200000.0,83.0,300.0,Compound -1963624202152333758,0.0,20.0,5300000.0,83.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,3.281788217345581e-07,Compound -1963624202152333758
6.0,310.2,6.0,6.0,1.01,8040000000.0,7.46,300.0,Compound 8187745089362680009,0.0,20.0,200000000.0,7.464,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,7.802634918977502e-10,Compound 8187745089362680009
6.0,43.4,6.0,6.0,0.94,44800000.0,36.0,300.0,Compound -2384306336043538372,0.0,20.0,5400000.0,36.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.2219014671274597e-07,Compound -2384306336043538372
6.0,33.0,6.0,6.0,0.93,460.0,1179677.21,300.0,Compound -5378161465959799421,0.0,20.0,1800000.0,1179677.2096,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -5378161465959799421
6.0,7.6,6.0,6.0,0.93,0.0889,13983.0,300.0,Compound 3437272051011424632,0.0,20.0,4.1,13983.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 3437272051011424632
6.0,143.8,6.0,6.0,0.867,-7.91e-06,-390664.29,300.0,Compound 2112432950215786887,0.0,20.0,0.01,-390664.2934,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 2112432950215786887
6.0,106.3,6.0,6.0,0.834,2.68e-07,618186.11,300.0,Compound -6597080624855173139,0.0,20.0,0.00055,618186.1118,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -6597080624855173139
6.0,49.98,6.0,6.0,0.9,8.24e-08,189277.69,300.0,Compound 1577046790139618164,0.0,20.0,5.2e-05,189277.6931,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1577046790139618164
6.0,26.0,6.0,6.0,0.897,17.9,237.0,300.0,Compound 3171020829556972709,0.0,20.0,14.0,237.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 3171020829556972709
6.0,69.0,6.0,6.0,1.0,0.815,502264.72,300.0,Compound 1574799103922576749,0.0,20.0,1400.0,502264.7157,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1574799103922576749
6.0,69.0,6.0,6.0,1.0,0.648,502264.72,300.0,Compound 1475833728804022034,0.0,20.0,1100.0,502264.7157,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1475833728804022034
6.0,15.56,6.0,6.0,1.0,151000000.0,82.0,300.0,Compound 3934275674960136724,0.0,20.0,41000000.0,82.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.7791862764282792e-08,Compound 3934275674960136724
6.0,328.0,6.0,6.0,0.789,411.0,1179677.21,300.0,Compound 8898371029538312215,0.0,20.0,1600000.0,1179677.2096,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 8898371029538312215
6.0,20.6,6.0,6.0,0.855,43.6,96.8,300.0,Compound -109222343158403027,0.0,20.0,14.0,96.8,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -109222343158403027
6.0,14.6,6.0,6.0,0.8,19.9,360.0,300.0,Compound 666088965501463675,0.0,20.0,24.0,360.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 666088965501463675
6.0,275.0,6.0,6.0,1.0,1400.0,9436.0,300.0,Compound 5107325158953368991,0.0,20.0,44000.0,9436.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.271843837141615e-05,Compound 5107325158953368991
6.0,89.06,6.0,6.0,1.0,1920000.0,468.0,300.0,Compound 1238617540551380260,0.0,20.0,3000000.0,468.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,3.0626225329139834e-06,Compound 1238617540551380260
6.0,89.06,6.0,6.0,1.0,1050000.0,856.0,300.0,Compound -1474297588827776031,0.0,20.0,3000000.0,856.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,5.53045375890941e-06,Compound -1474297588827776031
6.0,34.5,6.0,6.0,0.76,1310.0,2940.0,300.0,Compound 2594398017142040817,0.0,20.0,13000.0,2940.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 2594398017142040817
