compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,1.2,6.0,6.0,0.64,0.000525,4.0,300.0,Compound -880202665981294905,0.0,20.0,0.042,24000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -880202665981294905
6.0,88.3,6.0,6.0,0.851,0.00202,2034.0,300.0,Compound -4158854226933309099,0.0,20.0,0.058,8600.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -4158854226933309099
6.0,6.5,6.0,6.0,0.91,0.512,2272.0,300.0,Compound 117577999622588760,0.0,20.0,0.021,12.3,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 117577999622588760
6.0,34.5,6.0,6.0,0.76,943.0,2940.0,300.0,Compound -8107207565794112547,0.0,20.0,13000.0,4070.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -8107207565794112547
6.0,29.0,6.0,6.0,0.955,0.171,62.5,300.0,Compound -2030595189422137303,0.0,20.0,10.0,18400.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.00462052192029945,Compound -2030595189422137303
6.0,17.1,6.0,6.0,0.89,0.00411,58.9,300.0,Compound 6355634904838962989,0.0,20.0,0.0052,380.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.2265872368058277e-06,Compound 6355634904838962989
6.0,160.0,6.0,6.0,1.0,600.0,131000.0,300.0,Compound 7275081564779322229,0.0,20.0,0.18,0.09,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 7275081564779322229
6.0,2000.0,6.0,6.0,1.0,1250.0,151000.0,300.0,Compound -1910581690078611150,0.0,20.0,0.025,0.006,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,8.816226356581265e-14,Compound -1910581690078611150
6.0,20.0,6.0,6.0,1.0,0.201,300.0,300.0,Compound -7535836963167172658,0.0,20.0,8.7,13000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.0078037464878217e-07,Compound -7535836963167172658
6.0,12.07,6.0,6.0,0.822,0.00048,73.88,300.0,Compound 2168439207869012833,0.0,20.0,0.4,250000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 2168439207869012833
6.0,0.08,6.0,6.0,0.95,17.1,74.0,300.0,Compound 6996595796297610667,0.0,20.0,0.13,2.28,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 6996595796297610667
6.0,3.65,6.0,6.0,0.902,0.263,104.7,300.0,Compound 5706184826956511538,0.0,20.0,0.053,60.4,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 5706184826956511538
6.0,4.2,6.0,6.0,0.85,1.03e-05,53.1,300.0,Compound -7967869515355144124,0.0,20.0,0.003,87400.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -7967869515355144124
6.0,15.1,6.0,6.0,0.91,0.0018,17.7,300.0,Compound -906415564952682460,0.0,20.0,0.0027,450.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.015338093549530965,Compound -906415564952682460
6.0,26.1,6.0,6.0,0.86,4.9e-05,1.5,300.0,Compound -9007194478158846939,0.0,20.0,0.08,490000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.3630751437859465,Compound -9007194478158846939
6.0,207.8,6.0,6.0,0.81,7.24e-08,175.0,300.0,Compound -4028298173215192874,0.0,20.0,6e-07,2483.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.023398980278206707,Compound -4028298173215192874
6.0,21.0,6.0,6.0,1.0,324.0,11.8,300.0,Compound -1436334979430273252,0.0,20.0,1100000.0,1000000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0012195202049451186,Compound -1436334979430273252
6.0,2.0,6.0,6.0,1.0,72.4,66033.0,300.0,Compound -6149883895550641609,0.0,20.0,0.0017,0.007,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -6149883895550641609
6.0,1.6,6.0,6.0,0.86,1.76e-05,200.0,300.0,Compound -2293220000321746439,0.0,20.0,0.00017,2950.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -2293220000321746439
6.0,10.6,6.0,6.0,1.21,0.0234,156.0,300.0,Compound 4841642039560448620,0.0,20.0,0.022,282.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.002173352706513515,Compound 4841642039560448620
6.0,40.6,6.0,6.0,1.0,6.0,48231.0,300.0,Compound -1835457431316226393,0.0,20.0,4.4e-05,0.0022,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -1835457431316226393
6.0,0.4,6.0,6.0,1.0,42300.0,3.0,300.0,Compound 1341236000115630106,0.0,20.0,29000000.0,208000.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,6.385829484084338e-07,Compound 1341236000115630106
6.0,35.0,6.0,6.0,0.81,3.62,335.0,300.0,Compound 6386169188797046192,0.0,20.0,2.9,240.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 6386169188797046192
6.0,2.4,6.0,6.0,0.9,0.235,36.0,300.0,Compound 5983372097395129377,0.0,20.0,3.9,4930.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 5983372097395129377
6.0,23.4,6.0,6.0,1.0,28.5,288735.0,300.0,Compound 6926932399656661255,0.0,20.0,0.00038,0.004,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 6926932399656661255
6.0,39.0,6.0,6.0,1.0,7780.0,11500.0,300.0,Compound 6011471732691198659,0.0,20.0,8.3,0.32,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.4893057359453883e-06,Compound 6011471732691198659
6.0,0.1,6.0,6.0,1.0,2.87e-12,125000.0,300.0,Compound 9180492476754787702,0.0,20.0,1e-10,10467.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 9180492476754787702
6.0,1.8,6.0,6.0,0.767,0.00042,7713.0,300.0,Compound 7817911702474449033,0.0,20.0,2.1e-07,0.15,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 7817911702474449033
6.0,60.0,6.0,6.0,0.86,0.547,316.0,300.0,Compound -7823550643920932111,0.0,20.0,0.36,200.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -7823550643920932111
6.0,50.0,6.0,6.0,1.0,8.48e-05,30.0,300.0,Compound -4631341781711935674,0.0,20.0,0.0013,4600.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.96682153035313,Compound -4631341781711935674
6.0,14.4,6.0,6.0,1.09,0.000696,29.3,300.0,Compound 5513420760057385673,0.0,20.0,0.013,5600.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.051796031363917736,Compound 5513420760057385673
6.0,143.0,6.0,6.0,0.94,0.0491,284.0,300.0,Compound 4864421336073240751,0.0,20.0,1.8e-05,0.11,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.02483293503052942,Compound 4864421336073240751
6.0,0.2,6.0,6.0,1.0,153.0,1000.0,300.0,Compound -2347684416352103894,0.0,20.0,0.051,0.1,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -2347684416352103894
6.0,120.0,6.0,6.0,1.0,0.06,83.0,300.0,Compound -6029395405576686648,0.0,20.0,0.13,650.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.5287378392217101,Compound -6029395405576686648
6.0,1.0,6.0,6.0,0.86,0.0307,2000.0,300.0,Compound -2750694015381018775,0.0,20.0,0.00082,8.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -2750694015381018775
6.0,40.0,6.0,6.0,1.0,0.00649,24362.0,300.0,Compound -8072895282481274706,0.0,20.0,8e-07,0.037,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -8072895282481274706
6.0,66.0,6.0,6.0,1.07,0.334,100.0,300.0,Compound -706211585631191381,0.0,20.0,0.039,35.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.3162031034563015,Compound -706211585631191381
6.0,4.76,6.0,6.0,0.92,3.72e-11,180.0,300.0,Compound -9164568688650166911,0.0,20.0,3.6e-10,2900.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -9164568688650166911
6.0,64.2,6.0,6.0,0.93,1.14e-06,73.8,300.0,Compound 2897557159980554793,0.0,20.0,4e-06,1050.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.3552979390681003,Compound 2897557159980554793
6.0,31.0,6.0,6.0,1.0,0.00536,1112.0,300.0,Compound 5795804171108547322,0.0,20.0,0.0005,28.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,5.1259104466447877e-11,Compound 5795804171108547322
6.0,84.5,6.0,6.0,0.85,4.93e-06,589.0,300.0,Compound -6483645375103188243,0.0,20.0,1.1e-07,6.7,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -6483645375103188243
6.0,33.2,6.0,6.0,0.63,6.0,4998.0,300.0,Compound 2950542210089585547,0.0,20.0,0.57,28.6,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 2950542210089585547
6.0,98.5,6.0,6.0,0.98,0.541,7175.0,300.0,Compound -7290906436935283341,0.0,20.0,0.059,33.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -7290906436935283341
6.0,5.0,6.0,6.0,1.0,4.93,385.0,300.0,Compound -3184143207264310686,0.0,20.0,4.6,280.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,6.756952880944117e-16,Compound -3184143207264310686
6.0,120.4,6.0,6.0,1.15,8440.0,10777.0,300.0,Compound -6408582488118171962,0.0,20.0,1.8,0.064,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0002959047980827889,Compound -6408582488118171962
6.0,0.42,6.0,6.0,1.0,0.15,9100.0,300.0,Compound -4971515016875698067,0.0,20.0,0.0042,8.4,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -4971515016875698067
6.0,19.0,6.0,6.0,1.0,1.64,214.0,300.0,Compound 8919034276450397737,0.0,20.0,1.4,261.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,5.860582976997049e-07,Compound 8919034276450397737
6.0,0.8,6.0,6.0,1.0,0.75,1900.0,300.0,Compound -8233464238746249122,0.0,20.0,0.005,2.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -8233464238746249122
6.0,7.0,6.0,6.0,1.0,84.0,1118.0,300.0,Compound 3541631813974809632,0.0,20.0,0.21,0.75,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.2795725561394314e-16,Compound 3541631813974809632
6.0,20.0,6.0,6.0,0.93,0.00717,55.3,300.0,Compound -7834490175249024619,0.0,20.0,0.17,7112.0,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0007917538601749128,Compound -7834490175249024619
6.0,13.8,6.0,6.0,0.88,6.87,245.2,300.0,Compound -4171874109078427193,0.0,20.0,0.3,13.1,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -4171874109078427193
