compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,81.99,6.0,6.0,0.90053,11.6,5921.82,300.0,Compound 5812381078469547906,0.0,20.0,0.53,13.6253,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 5812381078469547906
6.0,28.53,6.0,6.0,0.95103,0.069,426.63,300.0,Compound -7932014248364343414,0.0,20.0,0.054,233.8252,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.2555472928312984e-11,Compound -7932014248364343414
6.0,0.76,6.0,6.0,0.99066,585.0,6994.02,300.0,Compound 8904076730721201025,0.0,20.0,1.5,0.7791,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 8904076730721201025
6.0,46.17,6.0,6.0,0.92097,1.93e-06,66.84,300.0,Compound -5541823026456195520,0.0,20.0,4.5e-09,0.7044,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.08261563838278893,Compound -5541823026456195520
6.0,13.01,6.0,6.0,0.93227,1.41e-05,178.07,300.0,Compound 4907781929718419063,0.0,20.0,7.4e-07,15.6731,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,3.3605715591708803e-13,Compound 4907781929718419063
6.0,476.83,6.0,6.0,0.96085,0.641,67.35,300.0,Compound 5887794665605564044,0.0,20.0,0.0098,4.5726,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.743840531732715,Compound 5887794665605564044
6.0,34.42,6.0,6.0,0.99382,1.93,1625.41,300.0,Compound -905907434150125416,0.0,20.0,37.0,5693.7989,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.537766494809448e-14,Compound -905907434150125416
6.0,6.82,6.0,6.0,0.94236,1.15e-09,7402.04,300.0,Compound -568366333895599292,0.0,20.0,5.6e-06,1447842.2396,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -568366333895599292
6.0,286.21,6.0,6.0,0.97004,0.0136,13.44,300.0,Compound -8410978882238479067,0.0,20.0,0.042,915.1265,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,17.382453906235163,Compound -8410978882238479067
6.0,8.32,6.0,6.0,0.91272,636.0,146.94,300.0,Compound 8191884586496800847,0.0,20.0,5700.0,2703.4885,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.863407464921524e-07,Compound 8191884586496800847
6.0,218.45,6.0,6.0,0.93591,215.0,7.02,300.0,Compound -5053535365680925248,0.0,20.0,0.041,0.0579,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.014425208427469593,Compound -5053535365680925248
6.0,455.9,6.0,6.0,0.95085,0.943,49.59,300.0,Compound -5199178069152849348,0.0,20.0,0.012,3.939,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.416455474350211,Compound -5199178069152849348
6.0,7.9,6.0,6.0,0.97233,0.0305,37.16,300.0,Compound -1827005119676579276,0.0,20.0,4.4e-05,0.4322,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.8796375375265654e-05,Compound -1827005119676579276
6.0,3.92,6.0,6.0,0.9018,6.62e-06,255.16,300.0,Compound 814855462113974177,0.0,20.0,0.0001,4617.2707,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 814855462113974177
6.0,4.1,6.0,6.0,0.99844,0.00498,719.36,300.0,Compound 1452556136411979393,0.0,20.0,8.1e-05,4.8825,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.9761159639590068e-20,Compound 1452556136411979393
6.0,264.1,6.0,6.0,0.91241,0.00405,1420.8,300.0,Compound 8348433033225375036,0.0,20.0,0.2,14773.1699,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.3401444977973904e-16,Compound 8348433033225375036
