,combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
15,6.0,0.33,6.0,6.0,0.97651,4.55e-07,9.42,300.0,Compound -6567141918322414753,0.0,20.0,3.2e-05,21211.3078,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,2.5980215153322103e-06,Compound -6567141918322414753
16,6.0,21.79,6.0,6.0,0.9754,1.93e-08,64.6,300.0,Compound -1759497807910830862,0.0,20.0,5.8e-08,902.2033,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.0632162909340691,Compound -1759497807910830862
17,6.0,6.01,6.0,6.0,0.92565,0.00267,66.2,300.0,Compound 8816904117228726946,0.0,20.0,2.5e-05,2.7834,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,2.9689579663772424e-07,Compound 8816904117228726946
18,6.0,2.68,6.0,6.0,0.90374,3.62e-05,101.9,300.0,Compound 5175491311256311529,0.0,20.0,2e-06,16.5087,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 5175491311256311529
19,6.0,0.75,6.0,6.0,0.97287,2.32e-06,39.62,300.0,Compound 2156645063235074013,0.0,20.0,2.1e-07,26.9675,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,6.615424417024038e-14,Compound 2156645063235074013
20,6.0,14.63,6.0,6.0,0.96726,2.62e-06,166.83,300.0,Compound 3576400033550414781,0.0,20.0,7.1e-07,81.1184,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.000116505032146,Compound 3576400033550414781
21,6.0,6.09,6.0,6.0,0.97676,0.00176,82.34,300.0,Compound -926551741820855104,0.0,20.0,0.00034,58.5556,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,1.1416964877878229e-05,Compound -926551741820855104
22,6.0,53.73,6.0,6.0,0.95488,6.2e-08,718.01,300.0,Compound -1484572179921276310,0.0,20.0,2.1e-08,102.278,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,3.165551320969771e-08,Compound -1484572179921276310
23,6.0,97.97,6.0,6.0,0.98852,2.84e-09,1053.47,300.0,Compound 3812147294719893606,0.0,20.0,1.9e-06,196739.7831,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.000547910405934,Compound 3812147294719893606
24,6.0,97.02,6.0,6.0,0.96855,7.54e-07,8183.7,300.0,Compound 7793573332747895347,0.0,20.0,9e-07,358.6261,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.0,Compound 7793573332747895347
25,6.0,1067.91,6.0,6.0,0.9041,6.3e-07,119.49,300.0,Compound -551531715654564141,0.0,20.0,7.3e-06,3467.635,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,26.356683930694054,Compound -551531715654564141
26,6.0,214.49,6.0,6.0,0.91948,0.0183,777.85,300.0,Compound 8071841842276549061,0.0,20.0,8600.0,141973908.651,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,1.1058821305962837e-08,Compound 8071841842276549061
27,6.0,2.07,6.0,6.0,0.97958,8.21e-06,94.46,300.0,Compound -5825360372548913019,0.0,20.0,3.7e-06,134.1761,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.2819800266155609e-15,Compound -5825360372548913019
28,6.0,0.74,6.0,6.0,0.93281,1.06e-05,73.29,300.0,Compound -1590909373533543166,0.0,20.0,9.6e-10,0.027,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound -1590909373533543166
29,6.0,571.34,6.0,6.0,0.93268,0.000144,604.89,300.0,Compound 5571777786521163745,0.0,20.0,7e-07,1.4676,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,2.086593871950136,Compound 5571777786521163745
30,6.0,2.65,6.0,6.0,0.95509,0.00023,51.02,300.0,Compound -1925337558024647018,0.0,20.0,3.6e-05,46.9478,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.245613849078706e-13,Compound -1925337558024647018
31,6.0,13.92,6.0,6.0,0.96115,6.77e-07,9.49,300.0,Compound 6394340076216664116,0.0,20.0,9.7e-08,42.8489,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.6852649698997306,Compound 6394340076216664116
32,6.0,8.54,6.0,6.0,0.94388,0.0259,55.7,300.0,Compound 6071248937383219973,0.0,20.0,0.0061,70.1472,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0005911430710727,Compound 6071248937383219973
33,6.0,58.36,6.0,6.0,0.95692,8.74e-08,2128.3,300.0,Compound 7960883295298931702,0.0,20.0,1.3e-08,45.9996,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,8.247876026324382e-14,Compound 7960883295298931702
34,6.0,166.61,6.0,6.0,0.9185,0.0103,3279.67,300.0,Compound -6038417994338619451,0.0,20.0,3.1e-05,0.9045,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound -6038417994338619451
