combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,12.4,6.0,6.0,0.95,628000000.0,3.55,300.0,Compound -1447087091920768955,0.0,20.0,7400000.0,3.55,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -1447087091920768955
6.0,15.59,6.0,6.0,1.0,11900000000.0,1.0,300.0,Compound -5149842802750118247,0.0,20.0,40000000.0,1.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -5149842802750118247
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound -980856891764548939,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -980856891764548939
6.0,37.8,6.0,6.0,1.0,54800.0,50863.0,300.0,Compound -2909173633529182509,0.0,20.0,9300000.0,50863.0049,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -2909173633529182509
6.0,115.0,6.0,6.0,1.0,0.000793,189254.87,300.0,Compound -2832867610249867899,0.0,20.0,0.5,189254.8663,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -2832867610249867899
6.0,66.8,6.0,6.0,1.0,160000000.0,376.0,300.0,Compound -2006556392653383421,0.0,20.0,200000000.0,376.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -2006556392653383421
6.0,2.5,6.0,6.0,1.0,72.6,630632.08,300.0,Compound -5777456501703872817,0.0,20.0,150000.0,630632.0771,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -5777456501703872817
6.0,0.1,6.0,6.0,1.0,-8.79e-14,-341292.23,300.0,Compound -5986326941805470203,0.0,20.0,1e-10,-341292.2313,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -5986326941805470203
6.0,0.34,6.0,6.0,1.0,461.0,1179677.21,300.0,Compound -1992364474461437825,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -1992364474461437825
6.0,5.0,6.0,6.0,1.0,165.0,2.0,300.0,Compound 6677978215870480651,0.0,20.0,1.1,2.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 6677978215870480651
6.0,10.8,6.0,6.0,0.93,5.86e-06,189340.05,300.0,Compound -8326712174041083913,0.0,20.0,0.0037,189340.0467,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -8326712174041083913
6.0,0.5,6.0,6.0,1.0,987.0,4847.0,300.0,Compound 3922193719864826300,0.0,20.0,16000.0,4847.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 3922193719864826300
6.0,215.0,6.0,6.0,0.81,1.29e-10,232834.32,300.0,Compound -8364243882914472523,0.0,20.0,1e-07,232834.3196,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -8364243882914472523
6.0,0.8,6.0,6.0,0.83,430.0,1179677.21,300.0,Compound -5708153322290852743,0.0,20.0,1700000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -5708153322290852743
6.0,248.11,6.0,6.0,1.0,589.0,189334.44,300.0,Compound -2463649075390080992,0.0,20.0,370000.0,189334.4428,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -2463649075390080992
6.0,140.7,6.0,6.0,1.0,0.00185,5202.0,300.0,Compound -774791803376610400,0.0,20.0,0.032,5202.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -774791803376610400
6.0,37.33,6.0,6.0,1.0,-0.000551,-519031.65,300.0,Compound 8926652879004570887,0.0,20.0,0.95,-519031.6549,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 8926652879004570887
6.0,69.32,6.0,6.0,1.0,1.08e-05,369665.46,300.0,Compound 3435157724162600462,0.0,20.0,0.013,369665.4631,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 3435157724162600462
6.0,45.0,6.0,6.0,1.0,0.0222,540.0,300.0,Compound 4041494441533717616,0.0,20.0,0.04,540.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 4041494441533717616
6.0,37.62,6.0,6.0,1.0,244000.0,45220.48,300.0,Compound 5511216787499018535,0.0,20.0,37000000.0,45220.4835,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 5511216787499018535
6.0,9.96,6.0,6.0,0.983,1.43e-05,189340.41,300.0,Compound -4448741997544690971,0.0,20.0,0.009,189340.4054,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -4448741997544690971
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound -980856891764548939,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -980856891764548939
6.0,175.0,6.0,6.0,0.966,2.11e-07,283707.0,300.0,Compound -3845006448192331320,0.0,20.0,0.0002,283707.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -3845006448192331320
6.0,210.59,6.0,6.0,1.0,310.0,273742.6,300.0,Compound 3767872688505299688,0.0,20.0,280000.0,273742.5996,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 3767872688505299688
6.0,1.9,6.0,6.0,1.0,10700000000.0,1.5,300.0,Compound -6508533943676863289,0.0,20.0,53000000.0,1.5,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -6508533943676863289
6.0,34.0,6.0,6.0,1.0,12000000000.0,5.0,300.0,Compound -5973353043130158043,0.0,20.0,200000000.0,5.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -5973353043130158043
6.0,248.11,6.0,6.0,1.0,589.0,189339.67,300.0,Compound 8967330137815097724,0.0,20.0,370000.0,189339.6731,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 8967330137815097724
