combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,17.3,6.0,6.0,1.08,480.0,1179677.21,300.0,Compound 4045479456573323715,0.0,20.0,1900000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,2.82804780304571e-19,Compound 4045479456573323715
6.0,17.3,6.0,6.0,0.929,460.0,1179677.21,300.0,Compound -820032156691512206,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.0,Compound -820032156691512206
6.0,17.3,6.0,6.0,0.929,460.0,1179677.21,300.0,Compound -820032156691512206,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,0.0,Compound -820032156691512206
6.0,17.3,6.0,6.0,1.08,480.0,1179677.21,300.0,Compound 4045479456573323715,0.0,20.0,1900000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,8.656236335203481e-19,Compound 4045479456573323715
6.0,19.0,6.0,6.0,0.8,1.33e-08,189298.58,300.0,Compound -5477795561731828040,0.0,20.0,8.4e-06,189298.5773,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,0.0,Compound -5477795561731828040
6.0,17.3,6.0,6.0,1.08,480.0,1179677.21,300.0,Compound 4045479456573323715,0.0,20.0,1900000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,9.335130672241188e-18,Compound 4045479456573323715
6.0,19.0,6.0,6.0,0.8,1.33e-08,189298.58,300.0,Compound -5477795561731828040,0.0,20.0,8.4e-06,189298.5773,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -5477795561731828040
6.0,17.3,6.0,6.0,0.929,460.0,1179677.21,300.0,Compound -820032156691512206,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.0,Compound -820032156691512206
6.0,17.3,6.0,6.0,0.929,460.0,1179677.21,300.0,Compound -820032156691512206,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound -820032156691512206
6.0,19.0,6.0,6.0,0.8,1.33e-08,189298.58,300.0,Compound -5477795561731828040,0.0,20.0,8.4e-06,189298.5773,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,0.0,Compound -5477795561731828040
6.0,19.0,6.0,6.0,0.8,1.33e-08,189298.58,300.0,Compound -5477795561731828040,0.0,20.0,8.4e-06,189298.5773,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound -5477795561731828040
6.0,19.0,6.0,6.0,0.8,1.33e-08,189298.58,300.0,Compound -5477795561731828040,0.0,20.0,8.4e-06,189298.5773,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.0,Compound -5477795561731828040
6.0,19.0,6.0,6.0,0.8,1.33e-08,189298.58,300.0,Compound -5477795561731828040,0.0,20.0,8.4e-06,189298.5773,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.0,Compound -5477795561731828040
6.0,12.2,6.0,6.0,0.95,0.252,2520.0,300.0,Compound -6580502195040430315,0.0,20.0,2.1,2520.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,0.0,Compound -6580502195040430315
6.0,12.2,6.0,6.0,0.95,0.252,2520.0,300.0,Compound -6580502195040430315,0.0,20.0,2.1,2520.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -6580502195040430315
6.0,12.2,6.0,6.0,0.95,0.252,2520.0,300.0,Compound -6580502195040430315,0.0,20.0,2.1,2520.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,0.0,Compound -6580502195040430315
6.0,12.2,6.0,6.0,0.95,0.252,2520.0,300.0,Compound -6580502195040430315,0.0,20.0,2.1,2520.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0,Compound -6580502195040430315
6.0,67.3,6.0,6.0,1.166,0.111,110.4,300.0,Compound 7764916537280219907,0.0,20.0,0.041,110.4,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,2.3653992229457907,Compound 7764916537280219907
6.0,12.2,6.0,6.0,0.95,0.252,2520.0,300.0,Compound -6580502195040430315,0.0,20.0,2.1,2520.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,0.0,Compound -6580502195040430315
6.0,12.2,6.0,6.0,0.95,0.252,2520.0,300.0,Compound -6580502195040430315,0.0,20.0,2.1,2520.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.0,Compound -6580502195040430315
6.0,67.3,6.0,6.0,1.166,0.111,110.4,300.0,Compound 7764916537280219907,0.0,20.0,0.041,110.4,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,2.1769202798381455,Compound 7764916537280219907
6.0,67.3,6.0,6.0,1.166,0.111,110.4,300.0,Compound 7764916537280219907,0.0,20.0,0.041,110.4,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,1.7139810418369212,Compound 7764916537280219907
6.0,33.9,6.0,6.0,0.96,7400000.0,298.0,300.0,Compound 4019399393962208850,0.0,20.0,7400000.0,298.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,5.684186333379881e-07,Compound 4019399393962208850
6.0,33.9,6.0,6.0,0.96,7400000.0,298.0,300.0,Compound 4019399393962208850,0.0,20.0,7400000.0,298.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,1.0861240948105536e-07,Compound 4019399393962208850
6.0,67.3,6.0,6.0,1.166,0.111,110.4,300.0,Compound 7764916537280219907,0.0,20.0,0.041,110.4,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,1.7050480627704077,Compound 7764916537280219907
6.0,67.3,6.0,6.0,1.166,0.111,110.4,300.0,Compound 7764916537280219907,0.0,20.0,0.041,110.4,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,1.7469431244386182,Compound 7764916537280219907
6.0,33.9,6.0,6.0,0.96,7400000.0,298.0,300.0,Compound 4019399393962208850,0.0,20.0,7400000.0,298.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,2.1684894038418437e-07,Compound 4019399393962208850
6.0,67.3,6.0,6.0,1.166,0.111,110.4,300.0,Compound 7764916537280219907,0.0,20.0,0.041,110.4,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.9076365417284029,Compound 7764916537280219907
6.0,33.9,6.0,6.0,0.96,7400000.0,298.0,300.0,Compound 4019399393962208850,0.0,20.0,7400000.0,298.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,7.63164237553848e-09,Compound 4019399393962208850
6.0,33.9,6.0,6.0,0.96,7400000.0,298.0,300.0,Compound 4019399393962208850,0.0,20.0,7400000.0,298.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,4.6879888727682495e-08,Compound 4019399393962208850
6.0,33.9,6.0,6.0,0.96,7400000.0,298.0,300.0,Compound 4019399393962208850,0.0,20.0,7400000.0,298.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,7.060240899367153e-07,Compound 4019399393962208850
