compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.koc,compound.metabolites.0.formation_fraction,compound.metabolites.0.metabolite.dt50.sediment,compound.metabolites.0.metabolite.dt50.soil,compound.metabolites.0.metabolite.dt50.surfaceWater,compound.metabolites.0.metabolite.dt50.system,compound.metabolites.0.metabolite.freundlich,compound.metabolites.0.metabolite.koc,compound.metabolites.0.metabolite.molarMass,compound.metabolites.0.metabolite.name,compound.metabolites.0.metabolite.plant_uptake,compound.metabolites.0.metabolite.reference_temperature,compound.metabolites.0.metabolite.vapor_pressure,compound.metabolites.0.metabolite.water_solubility,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,1.compound_pec,0.compound_name,1.compound_name
6.0,319.6,6.0,6.0,1.15239,329.91,0.2,6.0,3.47,6.0,6.0,1.13462,6.0,300.0,Compound 8742213208677503645,0.0,20.0,0.0001,80.0,300.0,Compound -3555627526789818580,0.0,20.0,4.7e-08,397.4816,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,13.307424936530994,0.1948132740318836,Compound -3555627526789818580,Compound 8742213208677503645
6.0,192.76,6.0,6.0,0.72383,94.4,0.2,6.0,221.29,6.0,6.0,0.70587,0.1,300.0,Compound 7023766941280985881,0.0,20.0,0.0001,80.0,300.0,Compound -66630901496127948,0.0,20.0,3.3e-06,881.5069,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,1.3219975910439428,8.498897575640928,Compound -66630901496127948,Compound 7023766941280985881
6.0,296.77,6.0,6.0,0.71449,0.42,0.2,6.0,1.26,6.0,6.0,0.80111,3.79,300.0,Compound 2683256054430264438,0.0,20.0,0.0001,80.0,300.0,Compound 1990434245329296,0.0,20.0,1.1e-06,808.1444,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,43.788544044593976,0.029958405265496584,Compound 1990434245329296,Compound 2683256054430264438
6.0,424.32,6.0,6.0,0.83353,163.55,0.2,6.0,5.6,6.0,6.0,1.18331,2394.32,300.0,Compound 1147887863930999468,0.0,20.0,0.0001,80.0,300.0,Compound -5727691512721733323,0.0,20.0,1.7e-05,7.8711,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,8.287839026918768,0.023474985437235037,Compound -5727691512721733323,Compound 1147887863930999468
6.0,62.73,6.0,6.0,0.88946,3.51,0.2,6.0,5.11,6.0,6.0,0.82089,0.51,300.0,Compound -685860650436456991,0.0,20.0,0.0001,80.0,300.0,Compound -5585312506881390289,0.0,20.0,2.3e-08,79.5225,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,18.669989446101006,0.35480543363148653,Compound -5585312506881390289,Compound -685860650436456991
6.0,118.72,6.0,6.0,0.74105,27.71,0.2,6.0,75.13,6.0,6.0,0.9027,1037.58,300.0,Compound -1260935669108836678,0.0,20.0,0.0001,80.0,300.0,Compound -3979975465156570264,0.0,20.0,7.6e-06,11995.5494,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,8.315895485712193,0.09304880986666812,Compound -3979975465156570264,Compound -1260935669108836678
6.0,377.82,6.0,6.0,1.18486,0.18,0.2,6.0,1.41,6.0,6.0,1.19575,9.46,300.0,Compound -7335976412441674045,0.0,20.0,0.0001,80.0,300.0,Compound 1051043914382311756,0.0,20.0,4.3e-07,12944.9227,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,46.97702328368973,0.03435566767935409,Compound 1051043914382311756,Compound -7335976412441674045
6.0,209.19,6.0,6.0,1.13683,0.28,0.2,6.0,6.62,6.0,6.0,0.73365,2617.38,300.0,Compound 4906264364961643295,0.0,20.0,0.0001,80.0,300.0,Compound -2865217515146938222,0.0,20.0,9.9e-07,4.5106,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,35.98781333276908,0.053104169137060744,Compound -2865217515146938222,Compound 4906264364961643295
6.0,209.63,6.0,6.0,0.91373,0.52,0.2,6.0,17.76,6.0,6.0,0.90292,235.24,300.0,Compound -301898705948013362,0.0,20.0,0.0001,80.0,300.0,Compound 2102117495817289903,0.0,20.0,9.7e-07,6.0511,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,36.609090648839526,0.09565367255082932,Compound 2102117495817289903,Compound -301898705948013362
6.0,52.97,6.0,6.0,0.88874,27.18,0.2,6.0,5.81,6.0,6.0,1.06753,99.11,300.0,Compound 3340063162851505017,0.0,20.0,0.0001,80.0,300.0,Compound 6277272493838662828,0.0,20.0,1.6e-07,2129.1116,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,4.61180609908997,0.10752093510546681,Compound 6277272493838662828,Compound 3340063162851505017
